Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species,はじめて
5.8,2.7,5.1,1.9,virginica,フルマラソン
7.1,3,5.9,2.1,virginica,kiss
6.3,2.9,5.6,1.8,virginica,フルマラソン
6.5,3,5.8,2.2,virginica,kiss
7.6,3,6.6,2.1,virginica,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
4.9,2.5,4.5,1.7,virginica,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
7.3,2.9,6.3,1.8,virginica,フルマラソン
6.7,2.5,5.8,1.8,virginica,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
7.2,3.6,6.1,2.5,virginica,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6.5,3.2,5.1,2,virginica,フルマラソン
6.4,2.7,5.3,1.9,virginica,フルマラソン
6.8,3,5.5,2.1,virginica,フルマラソン
5.7,2.5,5,2,virginica,kiss
5.8,2.8,5.1,2.4,virginica,kiss
6.4,3.2,5.3,2.3,virginica,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6.5,3,5.5,1.8,virginica,フルマラソン
7.7,3.8,6.7,2.2,virginica,フルマラソン
7.7,2.6,6.9,2.3,virginica,kiss
6,2.2,5,1.5,virginica,kiss
6.9,3.2,5.7,2.3,virginica,フルマラソン
5.6,2.8,4.9,2,virginica,kiss
7.7,2.8,6.7,2,virginica,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6.3,2.7,4.9,1.8,virginica,フルマラソン
6.7,3.3,5.7,2.1,virginica,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
7.2,3.2,6,1.8,virginica,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6.2,2.8,4.8,1.8,virginica,kiss
6.1,3,4.9,1.8,virginica,kiss
6.4,2.8,5.6,2.1,virginica,kiss
7.2,3,5.8,1.6,virginica,kiss
7.4,2.8,6.1,1.9,virginica,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
7.9,3.8,6.4,2,virginica,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6.4,2.8,5.6,2.2,virginica,フルマラソン
6.3,2.8,5.1,1.5,virginica,フルマラソン
6.1,2.6,5.6,1.4,virginica,kiss
7.7,3,6.1,2.3,virginica,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6.3,3.4,5.6,2.4,virginica,kiss
6.4,3.1,5.5,1.8,virginica,フルマラソン
6,3,4.8,1.8,virginica,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6.9,3.1,5.4,2.1,virginica,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6.7,3.1,5.6,2.4,virginica,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6.9,3.1,5.1,2.3,virginica,kiss
5.8,2.7,5.1,1.9,virginica,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
6.8,3.2,5.9,2.3,virginica,kiss
6.7,3.3,5.7,2.5,virginica,フルマラソン
6.7,3,5.2,2.3,virginica,フルマラソン
6.3,2.5,5,1.9,virginica,フルマラソン
6.5,3,5.2,2,virginica,フルマラソン
6.2,3.4,5.4,2.3,virginica,ｼﾝｶﾝｾﾝﾉｶﾀｲｱｲｽ
5.9,3,5.1,1.8,virginica,kiss
